일별,M001_한식,M002_일식/중식/양식,M003_제과/커피/패스트푸드,M004_기타요식,M005_유흥,M006_백화점,M007_할인점/슈퍼마켓,M008_편의점,M009_기타유통,M010_음/식료품,M011_의복/의류,M012_패션/잡화,M013_스포츠/문화/레저,M014_스포츠/문화/레저용품,M015_숙박,M016_여행,M017_미용서비스,M018_화장품,M019_서비스,M020_인테리어,M021_학원,M022_유아교육,M023_교육용품,M024_병원,M025_약국,M026_기타의료,M027_가전/가구,M028_자동차판매,M029_자동차서비스/용품,M030_주유
2019-02-26,3728 ,801 ,2192 ,3367 ,102 ,525 ,5993 ,5421 ,1243 ,1283 ,272 ,130 ,1206 ,228 ,117 ,52 ,333 ,157 ,311 ,132 ,171 ,35 ,181 ,1662 ,1184 ,25 ,266 ,10 ,374 ,1893 
2019-02-27,3787 ,826 ,2208 ,3436 ,106 ,559 ,5811 ,5540 ,648 ,1296 ,274 ,134 ,1249 ,226 ,116 ,54 ,378 ,164 ,333 ,134 ,181 ,27 ,192 ,1612 ,1145 ,23 ,231 ,10 ,371 ,1870 
2019-02-28,4080 ,895 ,2326 ,3766 ,137 ,596 ,6272 ,5745 ,1136 ,1389 ,303 ,146 ,1365 ,259 ,133 ,62 ,415 ,177 ,385 ,135 ,214 ,33 ,203 ,1725 ,1278 ,25 ,261 ,10 ,394 ,2094 
2019-03-01,4229 ,1005 ,2333 ,3986 ,198 ,1017 ,7272 ,5416 ,533 ,1530 ,494 ,175 ,1781 ,406 ,227 ,62 ,590 ,181 ,257 ,112 ,65 ,0 ,202 ,220 ,397 ,10 ,230 ,4 ,309 ,2016 
2019-03-02,4211 ,971 ,2435 ,4000 ,185 ,991 ,7637 ,5405 ,529 ,1588 ,491 ,192 ,1799 ,425 ,215 ,49 ,644 ,188 ,341 ,120 ,126 ,0 ,254 ,1202 ,1108 ,18 ,258 ,4 ,380 ,1975 
2019-03-03,3552 ,858 ,2208 ,3390 ,154 ,936 ,7280 ,5035 ,567 ,1196 ,420 ,152 ,1545 ,370 ,162 ,50 ,571 ,156 ,181 ,46 ,69 ,1 ,305 ,140 ,287 ,5 ,208 ,0 ,225 ,1759 
2019-03-04,3664 ,725 ,2075 ,3220 ,83 ,322 ,6575 ,5622 ,792 ,1333 ,256 ,126 ,1281 ,223 ,78 ,58 ,347 ,140 ,405 ,146 ,329 ,37 ,600 ,1914 ,1545 ,23 ,267 ,12 ,384 ,1831 
2019-03-05,3613 ,704 ,2014 ,3220 ,94 ,452 ,6260 ,5669 ,1112 ,1344 ,237 ,111 ,1227 ,194 ,81 ,47 ,288 ,145 ,728 ,134 ,240 ,38 ,482 ,1553 ,1318 ,22 ,286 ,11 ,349 ,1798 
2019-03-06,3679 ,735 ,2063 ,3313 ,98 ,473 ,6214 ,5668 ,633 ,1364 ,247 ,116 ,1298 ,194 ,86 ,49 ,323 ,144 ,371 ,127 ,195 ,22 ,364 ,1468 ,1193 ,21 ,264 ,10 ,344 ,1790 
2019-03-07,3766 ,769 ,2151 ,3462 ,102 ,492 ,6262 ,5684 ,839 ,1400 ,271 ,119 ,1255 ,207 ,86 ,48 ,330 ,157 ,351 ,132 ,158 ,15 ,296 ,1468 ,1126 ,21 ,257 ,11 ,354 ,1858 
2019-03-08,4074 ,860 ,2343 ,3896 ,135 ,626 ,6512 ,5879 ,591 ,1506 ,314 ,139 ,1325 ,250 ,102 ,54 ,384 ,174 ,348 ,135 ,149 ,10 ,233 ,1604 ,1191 ,22 ,336 ,11 ,376 ,2009 
2019-03-09,4338 ,1051 ,2621 ,4222 ,209 ,1029 ,7982 ,5721 ,482 ,1623 ,518 ,199 ,1905 ,421 ,178 ,48 ,615 ,196 ,435 ,131 ,121 ,1 ,252 ,1227 ,1041 ,18 ,275 ,5 ,422 ,2102 
2019-03-10,3527 ,896 ,2317 ,3440 ,164 ,1017 ,5572 ,5184 ,540 ,1243 ,406 ,136 ,1660 ,337 ,159 ,51 ,531 ,139 ,171 ,45 ,59 ,1 ,232 ,145 ,260 ,7 ,213 ,0 ,226 ,1628 
2019-03-11,3558 ,645 ,2037 ,3147 ,83 ,422 ,6155 ,5612 ,1046 ,1386 ,232 ,114 ,1164 ,190 ,82 ,52 ,308 ,136 ,909 ,163 ,156 ,20 ,300 ,1903 ,1440 ,22 ,1004 ,9 ,355 ,1844 
2019-03-12,3657 ,703 ,2076 ,3263 ,93 ,464 ,5955 ,5636 ,479 ,1366 ,220 ,106 ,1066 ,183 ,84 ,46 ,282 ,125 ,317 ,125 ,131 ,14 ,254 ,1598 ,1187 ,21 ,378 ,6 ,334 ,1845 
2019-03-13,3764 ,758 ,2208 ,3440 ,99 ,515 ,6011 ,5829 ,491 ,1430 ,235 ,113 ,1057 ,203 ,90 ,50 ,328 ,152 ,331 ,128 ,118 ,11 ,258 ,1523 ,1131 ,19 ,344 ,9 ,345 ,1932 
2019-03-14,3827 ,787 ,2357 ,3547 ,104 ,540 ,6380 ,6358 ,454 ,1444 ,255 ,121 ,1034 ,264 ,97 ,54 ,327 ,185 ,300 ,126 ,103 ,104 ,234 ,1514 ,1167 ,21 ,267 ,9 ,339 ,1906 
2019-03-15,3958 ,825 ,2192 ,3657 ,133 ,580 ,6110 ,5881 ,449 ,1428 ,260 ,122 ,1138 ,221 ,107 ,51 ,373 ,163 ,691 ,127 ,103 ,95 ,185 ,1628 ,1209 ,21 ,623 ,9 ,350 ,1950 
2019-03-16,4284 ,1021 ,2597 ,4116 ,204 ,970 ,7545 ,5577 ,424 ,1616 ,474 ,195 ,1732 ,421 ,187 ,50 ,623 ,221 ,356 ,126 ,89 ,9 ,203 ,1259 ,1092 ,17 ,271 ,4 ,414 ,2171 
2019-03-17,3665 ,927 ,2342 ,3589 ,162 ,924 ,6943 ,5144 ,474 ,1237 ,409 ,146 ,1566 ,375 ,163 ,55 ,527 ,136 ,184 ,51 ,47 ,8 ,170 ,168 ,302 ,9 ,211 ,1 ,253 ,1868 
2019-03-18,3617 ,652 ,2079 ,3247 ,84 ,312 ,6000 ,5647 ,826 ,1426 ,249 ,118 ,1018 ,202 ,87 ,52 ,324 ,135 ,367 ,144 ,128 ,268 ,225 ,2017 ,1573 ,22 ,278 ,11 ,362 ,1903 
2019-03-19,3762 ,728 ,2155 ,3523 ,98 ,468 ,6072 ,5875 ,535 ,1438 ,267 ,118 ,984 ,213 ,89 ,43 ,300 ,133 ,322 ,137 ,113 ,187 ,210 ,1688 ,1289 ,22 ,272 ,11 ,349 ,1852 
2019-03-20,3659 ,719 ,1966 ,3298 ,105 ,446 ,5544 ,5750 ,675 ,1320 ,215 ,103 ,975 ,174 ,90 ,46 ,306 ,115 ,603 ,126 ,107 ,130 ,250 ,1527 ,1137 ,19 ,621 ,10 ,324 ,1709 
2019-03-21,3810 ,763 ,2178 ,3516 ,106 ,486 ,6102 ,5793 ,572 ,1444 ,259 ,116 ,1028 ,202 ,90 ,54 ,334 ,133 ,316 ,128 ,107 ,85 ,198 ,1591 ,1240 ,21 ,261 ,9 ,351 ,1872 
2019-03-22,4084 ,844 ,2330 ,3890 ,135 ,608 ,6390 ,5876 ,505 ,1550 ,290 ,131 ,1158 ,235 ,109 ,55 ,393 ,147 ,322 ,209 ,112 ,60 ,179 ,1739 ,1326 ,22 ,267 ,10 ,370 ,2059 
