학교종류명,도로명우편번호,도로명주소
초등학교,4328,서울특별시 용산구 두텁바위로 140
초등학교,3126,서울특별시 종로구 대학로 12
초등학교,3067,서울특별시 종로구 혜화로 32
초등학교,4418,서울특별시 용산구 한남대로 112
초등학교,4388,서울특별시 용산구 한강대로14길 9
초등학교,4618,서울 중구 퇴계로50길 13
초등학교,4306,서울특별시 용산구 효창원로 228
초등학교,3032,서울특별시 종로구 자하문로 105
초등학교,4589,서울특별시 중구 다산로 170
초등학교,3103,서울특별시 종로구 지봉로 73
초등학교,3056,서울특별시 종로구 북촌로4길 7
초등학교,4609,서울특별시 중구 청구로17길 40
초등학교,4345,서울특별시 용산구 녹사평대로40길 19
초등학교,4357,서울특별시 용산구 효창원로13길 38
초등학교,4341,서울특별시 용산구 녹사평대로60길 39
초등학교,4375,서울 용산구 한강대로57길 33
초등학교,4423,서울특별시 용산구 이촌로 255
초등학교,4579,서울특별시 중구 난계로 141
초등학교,3014,서울특별시 종로구 세검정로9길 1
초등학교,4384,서울특별시 용산구 서빙고로51길 14
초등학교,4335,서울특별시 용산구 두텁바위로1나길 19
초등학교,4501,서울특별시 중구 손기정로 73
초등학교,4407,서울특별시 용산구 우사단로 20
초등학교,3093,서울특별시 종로구 낙산길 250
초등학교,3027,서울특별시 종로구 사직로9길 19
초등학교,3025,서울특별시 종로구 통일로12길 23
초등학교,4519,서울특별시 중구 덕수궁길 140
초등학교,4368,서울특별시 용산구 원효로64길 17-10
초등학교,4629,서울특별시 중구 퇴계로22길 17
초등학교,4318,서울특별시 용산구 효창원로 137
초등학교,3132,서울특별시 종로구 삼일대로 446
초등학교,4569,서울특별시 중구 다산로 269
초등학교,3015,서울특별시 종로구 홍지문2길 1
초등학교,4628,서울특별시 중구 소파로2길 7
초등학교,4592,서울특별시 중구 매봉18길 109
초등학교,1797,서울특별시 노원구 화랑로 621
초등학교,1438,서울특별시 도봉구 노해로49길 69
초등학교,1795,서울특별시 노원구 화랑로 815
초등학교,1672,서울특별시 노원구 한글비석로 506
초등학교,1911,서울특별시 노원구 마들로 45
초등학교,1823,서울특별시 노원구 노원로1길 36
초등학교,1801,서울특별시 노원구 화랑로51나길 31
초등학교,1364,서울특별시 도봉구 해등로32길 11
초등학교,1781,서울특별시 노원구 공릉로 431
초등학교,1424,서울특별시 도봉구 노해로66길 84
초등학교,1427,서울특별시 도봉구 해등로 103
초등학교,1486,서울특별시 도봉구 덕릉로63길 46
초등학교,1400,서울특별시 도봉구 해등로16길 81
초등학교,1338,서울특별시 도봉구 방학로 32-28
초등학교,1432,서울특별시 도봉구 도봉로129길 54
초등학교,1862,서울특별시 노원구 섬밭로 181
초등학교,1776,서울특별시 노원구 섬밭로 241
초등학교,1777,서울특별시 노원구 섬밭로 316
초등학교,1699,서울특별시 노원구 한글비석로19길 39
초등학교,1411,서울특별시 도봉구 마들로13길 166
초등학교,1741,서울특별시 노원구 중계로 239
초등학교,1420,서울특별시 도봉구 노해로70길 96
초등학교,1882,서울특별시 노원구 월계로45가길 10
초등학교,1713,서울특별시 노원구 덕릉로76길 18
초등학교,1851,서울특별시 노원구 섬밭로 144
초등학교,1789,서울특별시 노원구 한글비석로1길 81-11
초등학교,1671,서울특별시 노원구 한글비석로52길 59
초등학교,1310,서울특별시 도봉구 시루봉로 285
초등학교,1810,서울특별시 노원구 공릉로58길 36
초등학교,1864,서울특별시 노원구 월계로55길 48
초등학교,1378,서울특별시 도봉구 우이천로 360
초등학교,1482,서울특별시 도봉구 우이천로 120
초등학교,1362,서울특별시 도봉구 방학로 247-21
초등학교,1480,서울특별시 도봉구 덕릉로60길 93
초등학교,1639,서울특별시 노원구 상계로 267
초등학교,1316,서울특별시 도봉구 시루봉로 173
초등학교,1877,서울특별시 노원구 초안산로 29
초등학교,1380,서울특별시 도봉구 노해로 179
초등학교,1725,서울특별시 노원구 중계로12길 9
초등학교,1602,서울특별시 노원구 동일로 1745
초등학교,1899,서울특별시 노원구 광운로2길 1
초등학교,1765,서울특별시 노원구 덕릉로 443
초등학교,1687,서울특별시 노원구 동일로221길 27
초등학교,1672,서울특별시 노원구 한글비석로54길 119
초등학교,1755,서울특별시 노원구 동일로216길 66
초등학교,1677,서울특별시 노원구 노원로38길 34
초등학교,1685,서울특별시 노원구 상계로9길 39
초등학교,1618,서울특별시 노원구 수락산로 237
초등학교,1721,서울특별시 노원구 중계로 178
초등학교,1368,서울특별시 도봉구 삼양로146길 17
초등학교,1357,서울특별시 도봉구 도당로9길 34
초등학교,1619,서울특별시 노원구 한글비석로 566
초등학교,1313,서울특별시 도봉구 도봉로173길 96
초등학교,1645,서울특별시 노원구 덕릉로112길 68
초등학교,1764,서울특별시 노원구 동일로213길 52
초등학교,1318,서울특별시 도봉구 마들로 859-44
초등학교,1907,서울특별시 노원구 마들로3길 34
초등학교,1613,서울특별시 노원구 동일로 1625
초등학교,1629,서울특별시 노원구 동일로230나길 32
초등학교,1841,서울특별시 노원구 동일로192가길 16
초등학교,1861,서울특별시 노원구 동일로173길 12
초등학교,1680,서울특별시 노원구 한글비석로41가길 24
초등학교,1397,서울특별시 도봉구 도봉로136다길 4
초등학교,1758,서울특별시 노원구 덕릉로 541
초등학교,1375,서울특별시 도봉구 시루봉로 53
초등학교,8368,서울특별시 구로구 연동로 178
초등학교,8350,서울특별시 구로구 오리로 1106
초등학교,8611,서울특별시 금천구 시흥대로79길 37
초등학교,8350,서울특별시 구로구 오류로 30
초등학교,8364,서울특별시 구로구 천왕로1길 11
초등학교,8575,서울특별시 금천구 탑골로 47-3
초등학교,8556,서울특별시 금천구 독산로78다길 89
초등학교,7322,서울특별시 영등포구 여의나루로2길 14
초등학교,7347,서울특별시 영등포구 신길로 190
초등학교,8260,서울특별시 구로구 부일로 893
초등학교,8359,서울특별시 구로구 경인로2길 10
초등학교,8268,서울특별시 구로구 경인로19길 39
초등학교,8342,서울특별시 구로구 서해안로24길 22
초등학교,7245,서울특별시 영등포구 양산로 185
초등학교,8321,서울특별시 구로구 남부순환로105길 218
초등학교,7365,서울특별시 영등포구 도영로 22길 31
초등학교,7350,서울특별시 영등포구 도신로60길 23
초등학교,8370,서울특별시 구로구 도림로20길 57
초등학교,7281,서울특별시 영등포구 문래로 56
초등학교,7445,서울특별시 영등포구 시흥대로173길 14
초등학교,7363,서울특별시 영등포구 경인로 756
초등학교,7229,서울특별시 영등포구 국회대로53길 20
초등학교,8551,서울특별시 금천구 문성로 62-15
초등학교,7341,서울특별시 영등포구 여의대방로 439
초등학교,8597,서울특별시 금천구 한내로 69-16
초등학교,8569,서울특별시 금천구 독산로36나길 21
초등학교,7378,서울특별시 영등포구 도신로4길 32
초등학교,8211,서울특별시 구로구 신도림로 26
초등학교,8201,서울특별시 구로구 신도림로19길 44
초등학교,7439,서울특별시 영등포구 대림로8길 25
초등학교,8299,서울특별시 구로구 가마산로27길 69
초등학교,8627,서울특별시 금천구 독산로23길 26
초등학교,8245,서울특별시 구로구 고척로33길 34
초등학교,7210,서울특별시 영등포구 선유로43가길 14
초등학교,8650,서울특별시 금천구 시흥대로38길 78
초등학교,8288,서울특별시 구로구 새말로 73
초등학교,8540,서울특별시 금천구 시흥대로 460
초등학교,8634,서울특별시 금천구 시흥대로47길 43-1
초등학교,7295,서울특별시 영등포구 문래로 104
초등학교,8561,서울특별시 금천구 독산로54길 102
초등학교,8251,서울특별시 구로구 고척로21길 55
초등학교,8587,서울특별시 금천구 범안로11길 3
초등학교,8303,서울특별시 구로구 구로중앙로14길 43
초등학교,8617,서울특별시 금천구 시흥대로104길 31
초등학교,7409,서울특별시 영등포구 도림로53길 32-9
초등학교,7384,서울특별시 영등포구 가마산로65길 22
초등학교,8241,서울특별시 구로구 고척로 213
초등학교,7397,서울특별시 영등포구 신길로23길 43
초등학교,7391,서울특별시 영등포구 여의대방로35길 14
초등학교,7418,서울특별시 영등포구 대림로21길 6
초등학교,7434,서울특별시 영등포구 대방천로 206
초등학교,7271,서울특별시 영등포구 선유로 131
초등학교,7213,서울특별시 영등포구 당산로 187
초등학교,7206,서울특별시 영등포구 선유로55길 32
초등학교,8571,서울특별시 금천구 탑골로5길 60
초등학교,8651,서울특별시 금천구 시흥대로24길 57
초등학교,8645,서울특별시 금천구 금하로30길 53
초등학교,8324,서울특별시 구로구 구일로 68
초등학교,8283,서울특별시 구로구 구로중앙로27나길 9
초등학교,8375,서울특별시 구로구 디지털로27길 76
초등학교,8232,서울특별시 구로구 경서로 31
초등학교,8275,서울특별시 구로구 경인로46길 13
초등학교,8223,서울특별시 구로구 중앙로 6
초등학교,8349,서울특별시 구로구 개봉로11길 98
초등학교,8333,서울특별시 구로구 개봉로16길 30-11
초등학교,8355,서울특별시 구로구 개봉로1다길 16-9
초등학교,8530,서울특별시 금천구 남부순환로 1304-11
초등학교,8656,서울특별시 금천구 탑골로10길 45
초등학교,3370,서울특별시 은평구 통일로 650
초등학교,3711,서울특별시 서대문구 모래내로15길 61
초등학교,3301,서울특별시 은평구 진관3로 73-17
초등학교,3918,서울특별시 마포구 월드컵북로 502-14
초등학교,3362,서울특별시 은평구 불광로14길 10-10
초등학교,3967,서울특별시 마포구 성미산로 51
초등학교,3481,서울특별시 은평구 가좌로5길 5
초등학교,3762,서울특별시 서대문구 북아현로11가길 7
