학교종류명,도로명우편번호,도로명주소,위도,경도
서울신강초등학교,7931,서울특별시 양천구 중앙로55길 72,37.52584419,126.8422639
서울수명초등학교,7643,서울특별시 강서구 수명로1길 84,37.55277267,126.8238794
서울송화초등학교,7598,서울특별시 강서구 방화대로34길 2,37.56815047,126.8180329
서울송정초등학교,7619,서울특별시 강서구 공항대로3길 18,37.56223089,126.8102813
서울서정초등학교,8002,서울특별시 양천구 목동로8길 19,37.52345012,126.8672362
서울삼정초등학교,7508,서울특별시 강서구 금낭화로 222,37.58050843,126.8104937
서울백석초등학교,7564,서울특별시 강서구 공항대로 491,37.55364765,126.8624258
서울방화초등학교,7611,서울특별시 강서구 양천로6길 92,37.56870373,126.8074982
서울발산초등학교,7640,서울특별시 강서구 강서로45길 113,37.55026244,126.8309944
서울목원초등학교,7978,서울특별시 양천구 목동중앙로 204,37.54293497,126.8824459
서울목운초등학교,7996,서울특별시 양천구 목동동로 235,37.52700952,126.8730442
서울목동초등학교,8010,서울특별시 양천구 목동동로12길 12,37.52280877,126.8721195
서울등현초등학교,7578,서울특별시 강서구 화곡로65길 124,37.56145118,126.8475984
서울등촌초등학교,7669,서울특별시 강서구 등촌로39길 71,37.54761422,126.8579422
서울등원초등학교,7577,서울특별시 강서구 화곡로65길 90,37.55981354,126.850069
서울등양초등학교,7580,서울특별시 강서구 강서로56나길 140,37.56494704,126.8447602
서울등서초등학교,7656,서울특별시 강서구 화곡로58길 86,37.55188439,126.8550381
서울등명초등학교,7585,서울특별시 강서구 강서로56나길 34,37.56089445,126.8423822
서울등마초등학교,7672,서울특별시 강서구 등촌로35길 12,37.54204371,126.8616672
서울내발산초등학교,7693,서울특별시 강서구 강서로46길 23,37.55088255,126.8381642
서울남명초등학교,8077,서울특별시 양천구 중앙로23길 3,37.515684,126.8540837
서울공항초등학교,7798,서울특별시 강서구 마곡서1로 68,37.56309005,126.8216459
서울공진초등학교,7810,서울특별시 강서구 마곡서로 33,37.55782959,126.8226104
서울계남초등학교,8099,서울특별시 양천구 목동동로2길 54,37.51016776,126.8600159
서울경인초등학교,7985,서울특별시 양천구 안양천로 1009,37.53287102,126.8856957
서울개화초등학교,7507,서울특별시 강서구 양천로 11,37.57394373,126.8046464
서울강월초등학교,8042,서울특별시 양천구 신월로 97,37.51634172,126.8334319
서울강신초등학교,7901,서울특별시 양천구 월정로 280,37.54209971,126.8295837
서울강서초등학교,7930,서울특별시 양천구 오목로 31,37.52241272,126.8409879
서울갈산초등학교,8100,서울특별시 양천구 목동로 31,37.51237156,126.8702299
서울가양초등학교,7533,서울 강서구 허준로 186,37.56221719,126.8585216
서울가곡초등학교,7633,서울특별시 강서구 공항대로36길 74,37.55570761,126.8361031
서울대학교사범대학부설초등학교,3087,서울특별시 종로구 대학로 64,37.5775997,127.0042955
운현초등학교,3131,서울특별시 종로구 삼일대로 460,37.57663053,126.9881575
신광초등학교,4313,서울특별시 용산구 청파로 263,37.54289988,126.9694475
숭의초등학교,4628,서울특별시 중구 소파로2길 10,37.55785307,126.9874816
서울흥인초등학교,4586,서울특별시 중구 청구로6길 11,37.56087001,127.0145555
서울후암초등학교,4328,서울특별시 용산구 두텁바위로 140,37.55136541,126.9817243
서울효제초등학교,3126,서울특별시 종로구 대학로 12,37.57268958,127.003491
